company,symbol,exchange,quarter,periodEnded,revenue,profitLoss,previousRevenue,previousProfitLoss,currency,sourceUrl
Anik Industries Limited,ANIKINDS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119106_1374806_07022025061850.xml
Anjani Portland Cement Limited,APCL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120268_1382045_13022025045425.xml
Anmol India Limited,ANMOL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119964_1380192_12022025055108.xml
Ansal Properties & Infrastructure Limited,ANSALAPI,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_121101_1416215_16042025060847.xml
Antelopus Selan Energy Limited,ANTELOPUS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119237_1375516_08022025014903.xml
Antony Waste Handling Cell Limited,AWHCL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120687_1384979_14022025062231.xml
Anuh Pharma Limited,ANUHPHR,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119129_1374926_07022025064627.xml
Anupam Rasayan India Limited,ANURAS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120399_1382915_13022025080145.xml
Apar Industries Limited,APARINDS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117941_1363971_29012025110018.xml
Apcotex Industries Limited,APCOTEXIND,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117862_1363176_28012025045357.xml
Apeejay Surrendra Park Hotels Limited,PARKHOTELS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119320_1375970_08022025102206.xml
Apex Frozen Foods Limited,APEX,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118447_1368633_02022025101030.xml
Apollo Hospitals Enterprise Limited,APOLLOHOSP,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119560_1377813_11022025023124.xml
Apollo Micro Systems Limited,APOLLO,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118690_1371208_05022025122136.xml
Apollo Pipes Limited,APOLLOPIPE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117809_1362552_28012025104249.xml
Apollo Sindoori Hotels Limited,APOLSINHOT,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119274_1375723_08022025044034.xml
Apollo Tyres Limited,APOLLOTYRE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119039_1374296_07022025031007.xml
Aptech Limited,APTECHT,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117731_1361350_25012025044438.xml
Aptus Value Housing Finance India Limited,APTUS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_118353_1367786_31012025065836.xml
Aqylon Nexus Limited,AQYLON,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120683_1384966_14022025062135.xml
Archean Chemical Industries Limited,ACI,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119181_1375226_07022025090912.xml
Archidply Decor Limited,ADL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120466_1383509_14022025125159.xml
Archidply Industries Limited,ARCHIDPLY,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118099_1365488_30012025122017.xml
Archies Limited,ARCHIES,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_121068_1398073_20032025123605.xml
Arcotech Limited,ARCOTECH,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119057_1374474_07022025043053.xml
Aries Agro Limited,ARIES,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120427_1383228_14022025111140.xml
Arihant Capital Markets Limited,ARIHANTCAP,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_119522_1377546_11022025114550.xml
Arihant Superstructures Limited,ARIHANTSUP,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118534_1369853_04022025122513.xml
Arkade Developers Limited,ARKADE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117682_1360900_24012025075904.xml
Arman Financial Services Limited,ARMANFIN,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_120699_1385090_14022025064546.xml
Aro Granite Industries Limited,AROGRANITE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118548_1369997_04022025015024.xml
Arrow Greentech Limited,ARROWGREEN,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119321_1375974_08022025102603.xml
Arshiya Limited,ARSHIYA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
Art Nirman Limited,ARTNIRMAN,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119930_1380017_12022025051945.xml
Artemis Medicare Services Limited,ARTEMISMED,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118724_1371523_05022025033620.xml
Arvee Laboratories (India) Limited,ARVEE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119806_1379261_12022025125714.xml
Arvind Fashions Limited,ARVINDFASN,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118735_1371648_05022025043309.xml
Arvind Limited,ARVIND,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117885_1363465_28012025061025.xml
Arvind SmartSpaces Limited,ARVSMART,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118023_1364747_29012025051436.xml
Asahi India Glass Limited,ASAHIINDIA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118108_1365574_30012025125954.xml
Asahi Songwon Colors Limited,ASAHISONG,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118125_1365725_30012025030121.xml
Ashapura Intimates Fashion Limited,AIFL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
Ashapura Minechem Limited,ASHAPURMIN,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120769_1385560_14022025085911.xml
Ashiana Housing Limited,ASHIANA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119798_1379213_12022025123338.xml
Ashima Limited,ASHIMASYN,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120226_1381750_13022025033742.xml
Ashok Leyland Limited,ASHOKLEY,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120003_1380414_12022025063257.xml
Ashoka Buildcon Limited,ASHOKA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119544_1377698_11022025010424.xml
Ashoka Metcast Limited,ASHOKAMET,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120304_1382237_13022025052549.xml
Asian Energy Services Limited,ASIANENE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120217_1381679_13022025031841.xml
Asian Granito India Limited,ASIANTILES,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119113_1374853_07022025063257.xml
Asian Hotels (East) Limited,AHLEAST,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120040_1380593_12022025071749.xml
Asian Hotels (North) Limited,ASIANHOTNR,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120557_1384071_14022025035614.xml
Asian Hotels (West) Limited,AHLWEST,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119891_1379824_12022025043859.xml
Asian Paints Limited,ASIANPAINT,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118658_1370927_04022025080634.xml
Aspinwall and Company Limited,ASPINWALL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118501_1369491_03022025064240.xml
Associated Alcohols & Breweries Ltd.,ASALCBR,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117717_1361247_25012025031432.xml
Astec LifeSciences Limited,ASTEC,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117792_1362411_27012025075939.xml
Aster DM Healthcare Limited,ASTERDM,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118374_1367900_31012025073435.xml
Astra Microwave Products Limited,ASTRAMICRO,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119138_1374994_07022025070951.xml
AstraZeneca Pharma India Limited,ASTRAZEN,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119719_1378756_11022025074418.xml
Astral Limited,ASTRAL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118211_1366565_30012025073415.xml
Astron Paper & Board Mill Limited,ASTRON,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120941_1386698_17022025044034.xml
Atal Realtech Limited,ATALREAL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120708_1385160_14022025065840.xml
Atam Valves Limited,ATAM,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118178_1366271_30012025055839.xml
Atcom Technologies Limited,ATCOM,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119408_1376798_10022025055833.xml
Atlas Cycles (Haryana) Limited,ATLASCYCLE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117311_1348895_17012025021714.xml
Atul Auto Limited,ATULAUTO,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119267_1375685_08022025041337.xml
Atul Limited,ATUL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117707_1361174_25012025020145.xml
Auri Grow India Limited,AURIGROW,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120497_1383677_14022025021053.xml
Aurionpro Solutions Limited,AURIONPRO,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117854_1363120_28012025043656.xml
Aurobindo Pharma Limited,AUROPHARMA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118972_1373816_06022025100611.xml
Aurum PropTech Limited,AURUM,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117462_1356762_22012025122228.xml
Ausom Enterprise Limited,AUSOMENT,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120334_1382498_13022025061405.xml
Authum Investment & Infrastructure Limited,AIIL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117258_1346738_15012025100337.xml
Autoline Industries Limited,AUTOIND,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119329_1376029_09022025050444.xml
Automotive Axles Limited,AUTOAXLES,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118675_1371061_05022025103856.xml
Automotive Stampings and Assemblies Limited,ASAL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117745_1361451_25012025055047.xml
Avadh Sugar & Energy Limited,AVADHSUGAR,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119500_1377406_11022025091213.xml
Avalon Technologies Limited,AVALON,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118843_1372714_06022025033116.xml
Avantel Limited,AVANTEL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117359_1350848_18012025044104.xml
Avanti Feeds Limited,AVANTIFEED,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119372_1376507_10022025042324.xml
Avenue Supermarts Limited,DMART,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117203_1343091_11012025091534.xml
AvenuesAI Limited,CCAVENUE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118611_1370637_04022025055423.xml
Avio Smart Market Stack Limited,ASMS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120451_1383414_14022025121512.xml
Avonmore Capital & Management Services Limited,AVONMORE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_120514_1383827_14022025030905.xml
Awfis Space Solutions Limited,AWFIS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119812_1379298_12022025011928.xml
Axis Bank Limited,AXISBANK,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/BANKING_117296_1348238_16012025080654.xml
Axita Cotton Limited,AXITA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119669_1378506_11022025062030.xml
Azad Engineering Limited,AZAD,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118722_1371515_05022025033016.xml
B&B Triplewall Containers Limited,BBTCL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120827_1385894_15022025120202.xml
B. L. Kashyap and Sons Limited,BLKASHYAP,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119085_1374655_07022025053023.xml
B.A.G Films and Media Limited,BAGFILMS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120201_1381580_13022025023911.xml
BALAJI PHOSPHATES LIMITED,BALAJIPHOS,NSE,Second Quarter,2024-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
BALAXI PHARMACEUTICALS LIMITED,BALAXI,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119496_1377364_10022025095519.xml
BASF India Limited,BASF,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118654_1370906_04022025075321.xml
BAWEJA STUDIOS LIMITED,BAWEJA,NSE,Second Quarter,2024-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117029_1320142_27112024052533.xml
BDR BUILDCON LIMITED,BDR,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117429_1354940_21012025031026.xml
BEML Land Assets Limited,BLAL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117590_1359919_24012025112118.xml
BEML Limited,BEML,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118857_1372817_06022025035357.xml
BEW ENGINEERING LIMITED,BEWLTD,NSE,Second Quarter,2022-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
BF Investment Limited,BFINVEST,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_120453_1383433_14022025121811.xml
BF Utilities Limited,BFUTILITIE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
BGR Energy Systems Limited,BGRENERGY,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120096_1380937_13022025091802.xml
BHALCHANDRAM CLOTHING LIMITED,BHALCHANDR,NSE,Fourth Quarter,2023-03-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
BIL VYAPAR LIMITED,BILVYAPAR,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119616_1378169_11022025044427.xml
BIRLASOFT LIMITED,BSOFT,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119758_1378950_11022025105543.xml
BLACKBUCK LIMITED,BLACKBUCK,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118810_1372378_06022025121526.xml
BLB Limited,BLBLIMITED,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117482_1357094_22012025044428.xml
BLS E-Services Limited,BLSE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119542_1377673_11022025124245.xml
BLS International Services Limited,BLS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119731_1378807_11022025081153.xml
BOHRA INDUSTRIES LIMITED,BOHRA,NSE,Fourth Quarter,2022-03-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
BOROSIL RENEWABLES LIMITED,BORORENEW,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_121040_1394938_11032025044008.xml
BOSCH HOME COMFORT INDIA LIMITED,BOSCH-HCIL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119661_1378450_11022025060153.xml
BPL Limited,BPL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119955_1380146_12022025054247.xml
BRIGHT SOLAR LIMITED,BRIGHT,NSE,Second Quarter,2022-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
BSE Limited,BSE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118932_1373545_06022025065508.xml
BSL Limited,BSL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120321_1382393_13022025055239.xml
Baazar Style Retail Limited,STYLEBAAZA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117992_1364503_29012025041616.xml
Bafna Pharmaceuticals Limited,BAFNAPH,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119003_1374083_07022025011730.xml
Baid Finserv Limited,BAIDFIN,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_119774_1379088_12022025114443.xml
Bajaj Auto Limited,BAJAJ-AUTO,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117953_1364158_29012025123151.xml
Bajaj Consumer Care Limited,BAJAJCON,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120774_1385581_14022025090851.xml
Bajaj Electricals Limited,BAJAJELEC,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118573_1370176_04022025032117.xml
Bajaj Finance Limited,BAJFINANCE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_118072_1365160_29012025074915.xml
Bajaj Finserv Limited,BAJAJFINSV,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_118212_1366575_30012025073535.xml
Bajaj Healthcare Limited,BAJAJHCARE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119807_1379265_12022025010023.xml
Bajaj Hindusthan Sugar Limited,BAJAJHIND,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119899_1379868_12022025044831.xml
Bajaj Holdings & Investment Limited,BAJAJHLDNG,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118208_1366543_30012025072626.xml
Bajaj Housing Finance Limited,BAJAJHFL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_117798_1362436_27012025085856.xml
Bajel Projects Limited,BAJEL,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118902_1373244_06022025053634.xml
Bal Pharma Limited,BALPHARMA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120448_1383394_14022025120837.xml
Balaji Amines Limited,BALAMINES,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120258_1381958_13022025043448.xml
Balaji Telefilms Limited,BALAJITELE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119749_1378894_11022025091754.xml
